vehicle_count,average_speed,congestion
2,52,Low
3,50,Low
4,48,Low
5,46,Low
6,44,Low
7,42,Medium
8,41,Medium
9,40,Medium
10,39,Medium
11,37,Medium
12,36,Medium
13,35,Medium
14,34,Medium
15,33,Medium
16,32,Medium
17,31,High
18,30,High
19,29,High
20,28,High
21,27,High
22,26,High
23,25,High
24,24,High
25,23,High
26,22,High
27,21,High
28,20,High
29,19,High
30,18,High
31,17,High
32,16,Very High
33,16,Very High
34,15,Very High
35,15,Very High
36,14,Very High
37,14,Very High
38,13,Very High
39,13,Very High
40,12,Very High
41,12,Very High
42,11,Very High
43,11,Very High
44,10,Very High
45,10,Very High
46,9,Very High
47,9,Very High
48,8,Very High
49,8,Very High
50,7,Very High
51,7,Very High
5,43,Low
6,45,Low
4,47,Low
3,49,Low
7,43,Medium
8,42,Medium
9,38,Medium
10,36,Medium
11,35,Medium
12,34,Medium
13,32,Medium
14,31,Medium
15,30,Medium
16,29,Medium
17,28,High
18,27,High
19,26,High
20,25,High
21,24,High
22,23,High
23,22,High
24,21,High
25,20,High
26,19,High
27,18,High
28,17,High
29,16,High
30,15,High
31,14,High
32,13,Very High
33,12,Very High
34,12,Very High
35,11,Very High
36,11,Very High
37,10,Very High
38,10,Very High
39,9,Very High
40,9,Very High
41,8,Very High
42,8,Very High
43,7,Very High
44,7,Very High
45,6,Very High
46,6,Very High
47,5,Very High
48,5,Very High
49,4,Very High
50,4,Very High
51,3,Very High
52,3,Very High
